Nama Negara,mass gathering restriction,educational facilities closed,stay at home order,non-essential services closed,closing_business,limiting_travel,FIRST_DISEASE,,,,,,
Indonesia,2/3/2020,14/3/2020,9/4/2020,9/4/2020,9/4/2020,2/4/2020,2/3/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia,,,,,https://id.wikipedia.org/wiki/Pembatasan_sosial_berskala_besar
Germany,10/3/2020,6/3/2020,6/3/2020,16/3/2020,22/3/2020,15/3/2020,27/1/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany,,,,,
Italy,21/2/2020,21/2/2020,9/3/2020,9/3/2020,9/3/2020,NOT IMPLEMENTED,30/1/2020,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown,,,,,
Spain,15/3/2020,9/3/2020,15/3/2020,15/3/2020,15/3/2020,10/3/2020,31/1/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain,,,,,
USA,15/3/2020,10/4/2020,15/3/2020,21/3/2020,21/3/2020,2/2/2020,20/1/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,,,,,
